ANIO,ID_MES,TRANSPORTE,VARIABLE,ID_ENTIDAD,ID_MUNICIPIO,VALOR
2004,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",127116000
2004,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122797000
2004,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120163000
2005,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116970000
2005,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",113979000
2005,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116682000
2005,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",122244000
2005,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121753000
2005,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",117698000
2005,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116014000
2005,"	08",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124955000
2005,"	09",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",119272000
2005,"	10",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",125982000
2005,"	11",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",123426000
2005,"	12",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",121771000
2006,"	01",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116100000
2006,"	02",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",110700000
2006,"	03",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",124000000
2006,"	04",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",108200000
2006,"	05",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",120800000
2006,"	06",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",118000000
2006,"	07",Sistema de Transporte Colectivo Metro,Pasajeros transportados,Ciudad de México,"	999",116200000
